,Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
153,625312,Drawings and Prints,Print,"St. Agatha, from 'Di Tutti gli Affresco del Correggio e di Quattro del Parmigianino'",Unknown,Italian,1841,1851,Engraving,"Gift of Lucy Chauncey, in memory of her father, Henry Chauncey, 1935",Unknown
154,632372,Drawings and Prints,Photograph,"Walter Switzer, Cornell Quarterback shown being grounded by three Columbia Players, from the ""Baseball and Football"" set (R311), issued by the National Chicle Company to promote Diamond Stars Gum",Unknown,Unknown,1936,1936,Albumen print (glossy finish),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
155,634357,Drawings and Prints,Print,"The Virgin and Child with St. John the Baptist, St. Francis, and St. Catherine of Siena",Unknown,"German, Italian",1585,1585,Chiaroscuro woodcut from four blocks printed in orange,"Rogers Fund, 1922",Unknown
156,634643,Drawings and Prints,"Print, baseball card","Card Number 28, Harry ""The Cat"" Brecheen, Pitcher, St. Louis Cardinals, from the Topps Red/ Blue Backs series (R414-5) issued by Topps Chewing Gum Company",Unknown,American,1951,1951,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
157,638012,Drawings and Prints,Print,"Card No. 145, U.S. Luscombe ""Silvaire,"" from the Aviation Gum series (V356), issued by World Wide Gum Company, Ltd.",Unknown,Canadian,1940,1940,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
158,638616,Photographs,Photograph,Officer Gordon F. Wilson Shows Mug Pictures to a Woman,Unknown,American,1970,1970,Gelatin silver print,"Anonymous Gift, 2014",Unknown
159,642712,Drawings and Prints,"Baseball card, print","Card Number 22, Jim Greengrass, Outfield, Cincinnati Redlegs, from ""1954 Topps Regular Issue"" series (R414-8), issued by Topps Chewing Gum Company.",Unknown,American,1954,1954,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
160,646748,Drawings and Prints,Print,"Mary, Queen of Scots at the execution block (from The History of England)",Unknown,"British, Scottish",1795,1795,Etching and engraving,"Gift of Susan Dwight Bliss, 1958",Unknown
161,650909,Drawings and Prints,Print,Happy Easter (Frohe Ostern),Unknown,Austrian,1912,1912,Color lithograph,"Museum Accession, transferred from the Library",Unknown
162,651579,Drawings and Prints,Print,"Portrait, bust-length, with bow",Unknown,"American, born Russia",1900,1900,Drypoint,"Gift of Mr. and Mrs. Meyer Schapiro, 1983",Unknown
163,651818,Photographs,Photograph,"Stripper with bare breasts sitting in her dressing room, Atlantic City, N.J.",Unknown,American,1961,1961,Gelatin silver print,"Purchase, Jade Lau Gift, 2015",Unknown
164,655098,Drawings and Prints,Photograph,"Virginia Hurned, from the Actresses series (N245) issued by Kinney Brothers to promote Sweet Caporal Cigarettes",Unknown,American,1890,1890,Albumen photograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
165,656878,Modern and Contemporary Art,Unknown,"New York City 2[unfinished, formerly New York City III]",Unknown,Unknown,1941,1941,Oil and tape on canvas,"San Francisco Museum of Modern Art, Purchase through a gift of Phyllis Wattis",USA
166,656909,Drawings and Prints,Print,The woodcutter,Unknown,Mexican,1921,1931,Woodcut,"Gift of Carl Zigrosser, 1930",Unknown
167,660182,Drawings and Prints,Books Prints Ornament & Architecture,"Ornamento delle belle & virtuose donne, page 8 (verso)",Unknown,"British, Italian",1554,1554,Woodcut,"Rogers Fund, 1921",Unknown
168,666262,Drawings and Prints,Print,"Souvenir of New York with Manhattan from West Hoboken, New Jersey",Unknown,"American, German",1851,1851,Hand-colored lithograph with tint stone,"The Edward W. C. Arnold Collection of New York Prints, Maps and Pictures, Bequest of Edward W. C. Arnold, 1954",Unknown
169,670640,Photographs,Photograph; Photomicrograph,[Snow Crystal],Unknown,American,1890,1929,Gelatin silver print,"Purchase, Alfred Stieglitz Society Gifts, 2015",Unknown
170,679516,Photographs,Album,[Album],Unknown,Unknown,1860,1879,Unknown,"Gift of Eva Kasiska, 1947",Unknown
171,683016,Drawings and Prints,Print,"Scene 14, from Jack and the Giant Killer, Scenes for a Toy Theater",Unknown,Unknown,1870,1890,Lithograph,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1952",Unknown
172,684096,Drawings and Prints,Print,"The Boston Tea Party, bakery card from the Frontiers of Freedom series (D39-4), issued by the Gordon Bread Company",Unknown,Unknown,1940,1949,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
173,684443,Drawings and Prints,Print,"Honduras, bakery card from the Flags series (D34), issued by the Ward-Mackey Company",Unknown,Unknown,1900,1935,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
174,693616,Greek and Roman Art,Kylix fragment,Terracotta rim fragment of a kylix (drinking cup),Greek,Unknown,500 BC,450 BC,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
175,695260,Medieval Art,Fragment,Fragment,European or Middle Eastern,Unknown,1125,1275,"Glass, ceramic","Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean, 1928",Unknown
176,701306,Drawings and Prints,Print,"Frederick II The Great, King of Prussia (1712–1786)",Unknown,Unknown,1782,1782,Etching and stipple,"Harris Brisbane Dick Fund, 1917",Unknown
177,702996,Photographs,Photograph,Desert near Alexandria,Unknown,Unknown,1842,1842,Daguerreotype,"Purchase, Philippe de Montebello Fund, Mr. and Mrs. John A. Moran Gift, in memory of Louise Chisholm Moran, Joyce F. Menschel and Annette de la Renta Gifts, and funds from various donors, 2016 (2016.97)",Unknown
178,703467,Greek and Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),Greek,Unknown,530 BC,450 BC,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
179,705128,Drawings and Prints,"Baseball card, print","Jo-Jo White, from the Goudey Wide Pen Premiums series (R314) issued by the Goudey Gum Company",Unknown,Unknown,1936,1936,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
180,705189,Drawings and Prints,"Baseball card, print","""Cy"" Blanton, from the National Chicle Fine Pen Premiums series (R313) issued by the National Chicle Gum Company",Unknown,Unknown,1936,1936,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
181,708376,Drawings and Prints,"Baseball card, print","Album 324, Page 86",Unknown,Unknown,1936,1936,Commercial Lithographs,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
182,709728,Greek and Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),Greek,Unknown,530 BC,450 BC,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
183,727173,Drawings and Prints,Print,"Silenus being carried by Satyrs, after Mantegna",Unknown,Unknown,1530,1550,Engraving,"Harris Brisbane Dick Fund, 1917",Unknown
184,727686,Drawings and Prints,Drawing,Coupé/Brougham #3887,Unknown,Unknown,1884,1884,Graphite and red crayon  on wove paper with perforated linen tape adhered to left edge for binding,"Gift of William Brewster, 1923",Unknown
185,728103,Drawings and Prints,Prints Ornament & Architecture,Ancient Temple,Unknown,Unknown,1545,1545,Etching,"Harris Brisbane Dick Fund, 1947",Unknown
186,728820,Greek and Roman Art,Column-krater fragment,Terracotta fragment of a column-krater (bowl for mixing wine and water),Greek,Unknown,530 BC,400 BC,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
187,729600,Drawings and Prints,Print,An indulgence with an image of Our Lord of Chalma,Unknown,Unknown,1895,1905,Photo-relief and letterpress on buff paper,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946",Unknown
188,729779,Drawings and Prints,Print,"Card 44, John Morrissey, from the Prizefighters series (N269) issued by P. Lorillard Company to promote Mechanics Delight Long Cut Tobacco",Unknown,Unknown,1887,1887,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
189,732391,Photographs,Ephemera,"[Rusted Metal Sign: ""Slow, Children""]",Unknown,Unknown,1960,1975,Painted metal,"Walker Evans Archive, 1994",Unknown
190,733407,Greek and Roman Art,Oinochoe fragment,Terracotta fragment of an oinochoe (jug),Greek,Unknown,530 BC,300 BC,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
191,736330,Drawings and Prints,Print,The Historian Animating The Mind of A Young Painter,Unknown,Unknown,1784,1784,Hand-colored etching,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",Unknown
192,738416,Drawings and Prints,Book Print Ornament & Architecture,"Robes Modèles Historiques, Viennoise",Unknown,Unknown,1800,1900,Design: Lithography,"Harris Brisbane Dick Fund, 1932",Unknown
193,740176,Greek and Roman Art,Skyphos fragment,Terracotta fragment of a skyphos (deep drinking cup),Greek,Unknown,530 BC,300 BC,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
194,751829,Drawings and Prints,"Print, baseball","Silas K. Johnson, Cincinnati Reds, from the Baseball Players Match Cover design series (U1) issued by Diamond Match Company",Unknown,Unknown,1934,1934,Printed matchbook,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
195,754604,Drawings and Prints,Print,"Thrifty villagers, satisfied watching the presentation from the outside, from 'A celebration in the neighboring village,' published in Le Petit Journal pour Rire, June 24, 1865",Unknown,Unknown,1865,1865,Lithograph on newsprint; third state of three (Delteil),"Harris Brisbane Dick Fund, 1936",Unknown
196,771069,European Sculpture and Decorative Arts,Vase,Vase with flowering branch motif (one of a pair),British,Unknown,1872,1872,Bone china,"Gift of Helene Fortunoff and Robert Grossman, 2017",Unknown
198,778279,Drawings and Prints,"Baseball card, print","Card Number 164, Bob Owchinko, San Diego Padres",Unknown,Unknown,1978,1978,Commercial Color Lithograph,"Gift of George R. Goldner, in honor of Stewart Goldner, 2016",Unknown
199,779306,Drawings and Prints,Trade card,"Packard-Tourist, from the ""Antique Autos"" series (R701-1), issued by Bowman Gum Company",Unknown,Unknown,1953,1953,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
200,785013,Drawings and Prints,Print; ephemera,"Norwegian Air Force In Canada Patrol Bomber (Northrup N3PB), from the ""Modern Airplanes"" series (T87), issued with Wings Cigarettes by Brown and Williamson Tobacco Company",Unknown,Unknown,1942,1942,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
201,813925,Drawings and Prints,Print,Stonehenge,Unknown,Unknown,1979,1979,Sugar-lift aquatint with roulette,"Gift of Jerry S. Flum, 1980",Unknown
202,820618,Drawings and Prints,Print,"Psyche, holding the flask of beauty being transported by three putti",Unknown,Unknown,1525,1535,Engraving,"Bequest of Grace Pugh, 1985",Unknown
203,824428,Drawings and Prints,Print,Landscape and Cattle,Unknown,Unknown,1875,1885,Etching,"Gift of Henry Levien, 1967",Unknown
